Hours_Coding,Lines_of_Code,Bugs_Found,Bugs_Fixed,AI_Usage_Hours,Sleep_Hours,Cognitive_Load,Task_Success_Rate,Coffee_Intake,Stress_Level,Task_Duration_Hours,Commits,Errors
3,206,18,12,4,5.0,28,80,5,38,5.2,7,5
9,482,19,17,1,8.1,83,30,3,98,12.2,37,1
2,90,3,1,2,6.8,91,30,5,100,1.7,4,7
11,863,16,10,4,4.3,39,80,3,51,26.2,26,4
8,456,10,7,0,8.9,73,38,2,88,16.1,32,4
10,582,3,0,4,6.6,49,63,6,49,9.2,24,1
3,128,12,12,1,5.5,72,30,2,87,3.5,7,3
5,205,19,13,5,6.3,82,30,1,96,10.6,20,8
6,278,16,11,1,8.3,30,76,1,35,11.3,7,8
10,610,8,7,5,5.5,50,72,7,61,20.3,15,5
6,414,3,0,6,5.0,68,52,3,75,8.3,18,8
4,384,13,13,6,4.6,38,87,7,44,7.7,10,3
3,219,18,15,5,5.5,31,93,7,32,3.8,17,0
4,210,2,0,2,7.9,34,77,0,45,3.7,14,1
1,175,13,8,4,6.4,50,68,6,63,1.8,5,0
4,132,7,2,0,5.1,62,46,4,77,9.8,4,7
1,50,0,0,0,4.8,56,42,4,66,1.1,4,8
1,145,9,8,3,5.7,48,56,0,67,1.4,6,9
10,360,17,14,5,8.7,45,68,0,53,18.5,45,5
6,204,15,12,0,5.7,21,82,2,30,9.5,12,1
5,181,7,2,2,8.9,34,76,4,50,10.9,12,5
11,472,0,0,5,6.4,23,90,3,34,22.3,16,8
4,332,11,10,2,4.9,69,40,5,74,2.5,14,2
11,594,7,6,0,8.5,57,50,7,75,27.5,22,8
3,207,15,11,0,6.3,42,64,1,52,6.0,12,1
1,144,17,11,3,7.5,78,36,7,86,2.2,5,4
6,246,3,0,0,8.9,94,30,7,99,10.8,12,1
2,278,5,1,5,4.3,47,74,5,62,4.4,13,6
8,566,11,11,6,4.5,85,43,2,100,5.8,14,9
10,840,8,2,5,7.6,27,87,4,42,12.0,35,8
5,360,14,13,5,5.4,48,73,7,53,11.3,10,6
7,422,15,14,3,4.9,30,84,6,34,6.3,31,4
10,422,11,5,3,4.2,37,75,0,40,6.6,23,3
2,106,13,12,0,4.1,74,30,6,75,4.2,6,3
8,500,12,8,1,7.9,69,45,6,74,17.4,9,9
2,121,1,0,1,4.7,33,78,4,41,1.7,9,7
4,288,2,0,3,6.3,93,30,3,100,8.8,11,9
1,34,9,6,0,7.0,28,83,2,41,1.9,2,9
5,183,8,3,1,6.1,30,75,7,36,7.7,6,9
9,540,19,17,0,4.1,82,30,7,100,19.4,36,9
1,30,7,3,0,7.9,86,30,7,86,1.3,2,9
9,450,9,8,0,4.1,72,31,0,91,8.0,18,0
11,356,18,12,4,7.8,58,51,5,72,11.8,37,4
8,719,2,0,5,8.5,75,43,3,92,12.1,21,1
6,378,4,0,0,6.2,47,63,5,49,9.4,6,8
7,541,2,0,4,6.7,94,30,1,100,14.8,32,6
3,117,15,15,3,6.4,58,47,2,59,6.2,15,9
1,88,16,15,1,5.9,44,67,3,53,1.7,4,7
5,375,14,14,5,8.4,40,83,3,50,10.3,25,5
2,174,2,1,6,8.5,29,84,7,31,1.8,8,8
5,341,11,7,1,5.7,62,51,5,68,3.0,11,5
8,694,8,5,5,7.1,34,90,0,41,18.0,29,6
11,779,11,6,6,8.6,67,60,1,85,7.2,50,6
9,408,14,9,1,8.8,40,69,7,57,8.9,28,8
2,251,1,0,5,6.5,79,46,7,91,3.8,11,7
3,160,17,11,1,6.3,69,42,7,81,4.0,13,0
3,217,19,19,1,5.4,42,70,5,60,6.8,10,3
1,171,11,6,6,8.8,32,95,3,43,1.1,10,6
8,446,3,0,1,4.7,88,30,2,100,4.2,9,7
6,310,15,12,1,6.9,23,76,3,34,6.6,25,6
8,736,15,9,6,5.4,91,30,4,100,13.2,22,2
11,843,0,0,3,5.4,28,85,2,39,13.8,47,3
9,486,1,1,0,6.0,54,43,7,72,14.1,18,6
5,302,2,0,2,9.0,40,77,2,53,11.3,17,7
3,248,19,14,4,4.3,77,37,3,83,7.0,16,6
5,205,16,12,2,6.9,37,67,0,49,5.2,12,5
5,357,19,13,2,4.4,91,30,7,96,7.1,22,8
5,410,0,0,5,4.8,62,57,2,80,8.0,25,8
3,114,19,16,0,6.2,25,70,4,43,7.2,12,6
11,459,5,0,5,6.6,86,30,5,89,27.5,16,7
10,400,14,10,0,5.3,31,64,0,49,9.7,20,5
4,400,13,10,6,5.6,31,98,0,39,7.8,10,0
9,609,19,14,6,4.4,85,44,0,100,11.3,15,0
10,660,14,13,0,5.5,21,80,2,30,5.2,20,5
9,484,13,11,1,8.8,34,78,0,39,4.7,37,1
2,128,4,0,3,8.7,42,74,3,49,2.8,5,7
8,266,5,3,1,5.7,48,51,0,63,11.8,9,0
8,604,16,15,3,6.9,26,90,4,30,4.4,11,1
